model.h5,test data,model name, AUC, pearson correlation coefficient
GM.po,LI11.po,embedding_cnn_two_branch,0.650670114,0.284298766
GM.po,LI11.po,embedding_dense,0.459091754,-0.072296753
BL1.po,MSC.po,onehot_cnn_one_branch,0.60868611,0.204234862
AO.po,MSC.po,onehot_cnn_one_branch,0.592528084,0.144003479
CM.po,MSC.po,onehot_cnn_one_branch,0.613225367,0.181920157
GM.po,LI11.po,onehot_embedding_cnn_one_branch,0.60386351,0.204657028
GM.po,LI11.po,onehot_embedding_cnn_two_branch,0.639287465,0.268833981
GM.po,CM.po,onehot_cnn_one_branch,0.614345463,0.181262291
GM.po,CM.po,onehot_cnn_two_branch,0.619988185,0.19038121
GM.po,CM.po,onehot_embedding_dense,0.646268904,0.300806424
GM.po,CM.po,onehot_dense,0.620751418,0.214734078
GM.po,CM.po,onehot_resnet18,0.607216446,0.166003869
CM.po,MSC.po,onehot_cnn_two_branch,0.619075644,0.228411583
BL1.po,MSC.po,onehot_cnn_two_branch,0.640521318,0.230284852
AO.po,MSC.po,onehot_cnn_two_branch,0.620142544,0.190151346
GM.po,CM.po,embedding_cnn_one_branch,0.609668028,0.192519273
GM.po,CM.po,embedding_cnn_two_branch,0.629612825,0.240417745
AO.po,MSC.po,onehot_embedding_dense,0.63193187,0.223137135
CM.po,MSC.po,onehot_embedding_dense,0.642025499,0.296681333
